front,back,hint,publishedAt
"签证","visa","","2024-08-18T11:04:45.517Z"
"隔壁","next door","","2024-08-18T12:01:17.292Z"
"对话","dialogue; conversation","","2024-08-18T22:44:33.972Z"
"缺失","shortcomings","","2023-10-07T03:01:23.183Z"
"许多","Many; a lot of","","2024-04-30T21:35:30.254Z"
"窒息","to choke; to suffocate","","2024-03-12T07:41:13.276Z"
"天然","Natural","","2024-04-15T05:21:44.231Z"
"人生","Life (one's time on earth)","","2024-05-23T04:41:03.809Z"
"一般来","generally","","2024-04-15T17:40:43.947Z"
"理论","Theory","","2024-03-15T03:49:47.475Z"
"世人","people (in general)","","2024-04-29T22:29:40.453Z"
"辛酸","sad; miserable","","2024-05-22T22:00:58.523Z"
"演员","actor","","2024-07-06T15:27:31.062Z"
"质感","realism (in art)","","2024-08-17T12:12:39.554Z"
"年龄段","age group","","2024-05-23T04:40:38.431Z"
"实习","Internships","","2024-05-26T19:34:37.738Z"
"零时","midnight","","2024-05-26T19:36:25.894Z"
"存档","Archiving","","2023-08-08T18:10:21.467Z"
"戒指","Rings","","2023-09-16T11:34:35.277Z"
"忧伤","sorrow","","2023-09-16T11:34:07.542Z"
"播客","Podcasts","","2024-05-25T08:36:30.781Z"
"大多数","Most; majority","","2024-04-30T21:32:42.948Z"
"性关系","sexual relations","","2024-05-25T08:38:38.611Z"
"而言","speaking in terms of...","","2024-04-30T21:38:29.716Z"
"宣传","to promote; to publicize; publicity","","2023-11-30T07:38:17.887Z"
"难免","inevitable","","2024-04-30T21:41:57.531Z"
"话虽如此","be that as it may; that being said","","2024-08-05T20:46:12.442Z"
"失业","unemployment","","2023-12-06T18:35:49.374Z"
"但凡","as long as","","2024-02-01T07:08:44.232Z"
"具有","to have","","2024-05-01T22:52:56.945Z"
"财富","Wealth","","2024-04-30T21:29:38.263Z"
"经济独立","financial independence","","2024-05-24T16:53:01.219Z"
"体现","to embody; to reflect","","2024-04-30T03:23:19.823Z"
"相关","related","","2023-11-30T07:39:26.596Z"
"员","Staff; employee; member","","2024-05-26T19:35:30.345Z"
"通常","Usually","","2023-09-05T06:35:12.074Z"
"癫","mentally deranged","","2024-02-14T19:48:23.522Z"
"准时","On time","","2024-06-14T18:57:51.279Z"
"链接","link (on a website)","","2024-08-16T02:13:52.096Z"
"例如","For example","","2024-04-30T03:38:41.044Z"
"全球通用","used globally","","2024-05-08T08:01:09.344Z"
"数量","Quantity","","2024-04-30T03:35:57.860Z"
"着急","to be anxious; to be in a hurry","","2024-05-23T15:32:44.547Z"
"致敬","tribute","","2023-11-13T05:32:17.038Z"
"发展","to develop","","2023-12-26T17:46:43.733Z"
"奖励","to reward; a reward","","2024-05-25T01:31:04.863Z"
"动机","motive","","2024-04-29T18:07:39.601Z"
"才艺","talent","","2024-08-14T16:33:52.614Z"
"不止","far more than (quantity)","","2024-04-30T01:22:52.563Z"
"总裁","CEO","","2023-11-30T07:38:43.593Z"
"花样","pattern","","2024-01-30T01:08:15.265Z"
"经济","economy","","2024-06-14T06:35:10.582Z"
"人格魅力","charisma","","2024-04-29T21:31:36.311Z"
"凌晨","Early morning","","2024-06-15T03:00:27.364Z"
"善良","Kindness","","2024-03-20T00:10:16.007Z"
"选项","options","","2024-04-30T01:28:30.466Z"
"美食","fine dining","","2024-08-13T06:25:22.441Z"
"启发","to enlighten/inspire","","2024-01-23T03:15:33.750Z"
"赏识","appreciation","","2024-06-14T06:13:16.092Z"
"演示","to demontrate","","2024-07-16T15:46:32.407Z"
"缺乏","a shortage of something","","2023-09-16T11:35:35.005Z"
"感谢","thank you; grateful","","2024-06-14T06:16:36.667Z"
"尽管","Although; despite; do not hesitate to","","2023-10-25T17:52:38.928Z"
"组成","to form; to construct; composition","","2024-02-19T21:06:08.494Z"
"价格","price","","2024-08-13T06:27:39.547Z"
"航班","flight","","2024-08-16T02:14:37.085Z"
"不光","not only","","2024-05-23T04:39:02.338Z"
"关键","key; crucial","","2024-04-15T02:44:24.960Z"
"直感","intuition","","2024-08-13T06:17:39.686Z"
"举止","bearing; manner","","2024-08-14T02:56:30.947Z"
"组合","to combine; combination; composition","","2024-02-19T21:05:47.855Z"
"方式","way; method","","2024-04-11T22:01:48.375Z"
"广场","public square","","2024-02-29T01:09:32.478Z"
"小看","look down on; underestimate","","2024-05-22T21:40:58.947Z"
"陛下","His or Her Majesty","","2024-05-22T22:04:45.026Z"
"模拟","to simulate","","2024-06-14T05:56:22.595Z"
"参与","to participate","","2024-05-25T08:39:14.079Z"
"本人","myself; in person","","2024-05-23T04:05:27.488Z"
"个头","size","","2024-04-06T18:15:31.389Z"
"独自","solo; solitarily","","2024-04-15T02:07:36.408Z"
"开发","Development; to develop","","2023-11-30T07:39:24.021Z"
"后果","Consequences","","2024-04-15T04:49:05.092Z"
"简易","simplicity","","2024-04-15T02:46:09.236Z"
"类型","Types; categories","","2024-05-22T00:28:48.820Z"
"设备","Equipment","","2024-04-15T04:26:50.352Z"
"遗传","heredity; genetics","","2024-03-04T07:59:41.403Z"
"满足","to satisfy","","2024-01-17T03:28:15.179Z"
"代表","representative","","2024-03-08T16:12:26.162Z"
"瞧","have a look","你瞧!","2024-01-23T03:16:33.294Z"
"反之","on the other hand...; conversely","","2024-04-15T02:46:46.836Z"
"典礼","Ceremony","","2024-02-02T01:28:47.650Z"
"抱石","bouldering","","2024-04-15T02:25:55.894Z"
"风景","landscape; view","","2024-04-15T05:10:04.131Z"
"安全性","safety; security","","2024-04-15T02:45:31.966Z"
"提供","Provide; to offer","","2024-01-17T21:49:35.337Z"
"形象","appearance; image; reputation","","2024-04-08T01:32:55.259Z"
"彻底","Thorough","","2024-06-11T05:54:55.678Z"
"绳索","rope","","2024-04-15T04:19:36.005Z"
"倾向于","prefer; inclined towards","","2024-05-21T15:48:26.941Z"
"传说","Legend; myth","","2023-12-29T01:50:25.487Z"
"具体","Specific","","2023-11-18T19:37:13.203Z"
"讨价还价","Haggling","","2024-01-17T03:09:54.404Z"
"反抗","resist","","2023-12-08T00:55:03.526Z"
"豪华","Luxury; rich","","2023-12-27T08:41:40.013Z"
"合作","Cooperate","","2023-11-30T07:38:37.476Z"
"年年有余","may you have an abundant Lunar New Year","","2024-01-17T04:07:24.223Z"
"设计","Design; to design","","2024-04-15T03:06:45.380Z"
"社会","society","","2024-01-29T15:55:56.206Z"
"岩石","rock (as a material)","","2024-04-15T05:20:30.623Z"
"词语","vocabulary words","","2023-08-08T18:00:49.598Z"
"先有","preexisting","","2024-04-15T02:38:19.738Z"
"头盔","Helmets","","2024-04-15T02:32:56.649Z"
"致力","strive","","2023-07-14T18:19:53.763Z"
"室外","outdoor","","2024-03-04T20:17:53.564Z"
"显示","to display","","2024-02-02T01:30:17.748Z"
"高清","high definition","","2024-03-15T21:21:16.193Z"
"注意","keep in mind","","2023-12-28T18:12:55.426Z"
"坚定","adament","","2024-04-08T00:38:12.699Z"
"侵犯","to trespass","","2024-04-14T04:33:09.552Z"
"存货","inventory (of material)","","2024-02-28T05:47:27.524Z"
"烦恼","worries; troubles; to be worried","","2024-02-27T06:06:33.832Z"
"发布","to publish; issue; announce","","2024-01-30T18:18:28.941Z"
"想开","get over it; suck it up","","2024-02-14T22:59:11.201Z"
"因而","Thus","","2024-02-19T21:06:34.373Z"
"说服","Convince","","2024-02-28T05:44:01.160Z"
"姜","ginger","","2023-09-03T22:35:23.902Z"
"永别了","goodbye forever","","2024-02-15T22:25:59.635Z"
"到时候见","see you then","","2024-02-15T22:25:28.891Z"
"闹事","create a disturbance","","2024-03-01T02:40:36.580Z"
"岁数","age (number of years old)","","2024-02-02T01:33:26.007Z"
"足够","enough","","2024-03-01T03:10:44.816Z"
"留心","pay attention to","","2024-04-14T23:03:24.915Z"
"预兆","omen","","2024-02-27T06:13:54.280Z"
"亲切","intimate; warm & friendly","","2024-03-15T03:49:26.034Z"
"贷款","Loan","","2024-06-11T04:33:02.040Z"
"何况","let alone; not to mention","","2024-01-23T03:15:47.924Z"
"纳闷","speculate; guess; puzzled","","2024-03-01T02:42:46.236Z"
"向","towards","","2024-04-27T21:16:02.580Z"
"说起来","speaking of which","","2024-01-31T00:55:59.447Z"
"多余","Excess; extra; overflow","","2024-02-22T02:18:50.984Z"
"惊叹","marvel","","2024-02-01T01:57:57.624Z"
"腱","tendon","","2023-12-26T00:44:17.668Z"
"迟早","sooner or later","","2024-03-15T03:50:04.126Z"
"下载","download","","2023-12-01T05:24:53.258Z"
"睫毛","Eyelashes","","2024-02-27T06:23:20.089Z"
"纠结","torn (between two options)","","2024-03-01T02:48:17.161Z"
"稀罕","rare; to cherish","","2024-04-03T03:00:08.031Z"
"提炼","to extract","","2024-04-06T17:41:15.785Z"
"识字","Literacy","","2023-12-08T01:23:32.329Z"
"驱逐","to expel; to banish","","2024-04-14T04:41:28.013Z"
"学位","Degree","","2024-04-14T23:04:16.550Z"
"阴","cloudy; overcast; shady","","2024-06-08T21:54:53.579Z"
"瘸子","cripple","","2024-03-10T17:14:13.107Z"
"叹","to sigh; to exclaim","","2024-01-29T03:52:32.222Z"
"打击","psychological shock","","2024-03-30T23:15:52.161Z"
"娱乐","Entertainment","","2024-05-21T05:08:28.093Z"
"胜任","Competent; up to a task","","2024-04-09T11:45:19.401Z"
"监狱","jail","","2024-05-21T05:05:34.836Z"
"正面","Front","","2024-02-28T05:41:47.937Z"
"精华","quintessential; selective","","2024-04-06T17:39:43.306Z"
"家庭","family","","2023-09-05T06:44:16.716Z"
"加班","Overtime","","2024-03-01T02:31:15.326Z"
"孤单","lonely","","2024-02-27T06:15:32.226Z"
"成为","Become","","2023-07-05T00:37:19.229Z"
"不公","unfairness","","2024-02-28T06:44:15.437Z"
"深圳","Shenzhen","","2024-02-26T22:11:14.111Z"
"失眠","Insomnia","","2023-11-10T19:48:58.808Z"
"领域","realm; field; sphere","","2023-09-16T11:35:23.162Z"
"丢人","lose face; embarassing","","2024-05-21T05:12:21.561Z"
"指望","to hope for something (to rely on)","","2024-01-02T18:32:01.032Z"
"花心大萝卜","skirt-chaser","","2023-12-08T02:05:41.926Z"
"令","to command","","2024-03-15T03:49:21.505Z"
"国内","Domestic","","2024-05-21T04:56:42.969Z"
"真诚","Sincerity","","2023-07-05T22:58:16.142Z"
"酒店","Hotels","","2024-05-21T03:51:30.678Z"
"夸奖","Compliment","","2024-05-21T05:14:58.710Z"
"果然","As expected; sure enough","","2024-02-23T08:21:07.927Z"
"版","Edition; version","","2024-05-21T05:09:08.074Z"
"小于","less than","","2024-05-21T05:23:32.356Z"
"年头","an entire year","","2024-05-21T05:28:53.841Z"
"熟悉","Familiarity","","2024-05-21T04:35:56.968Z"
"不着","No need","","2024-06-07T23:29:46.044Z"
"裁判","Referee; judge","","2024-05-21T03:50:01.917Z"
"违法","illegal","","2024-05-21T03:55:28.580Z"
"合理","Reasonable","","2024-05-21T04:52:08.399Z"
"耳熟","sound familiar","","2024-05-21T04:36:30.023Z"
"加上","in addition","","2024-06-07T23:29:05.640Z"
"歌单","playlist","","2024-05-21T05:31:34.249Z"
"淡季","off season","","2024-05-21T03:52:42.478Z"
"默认","to assume; to default to","","2024-05-21T04:41:06.494Z"
"进阶","advanced","","2024-05-21T04:45:07.752Z"
"成就","Achievement; to achieve","","2024-03-05T08:19:01.896Z"
"投诉","Complaint; to complain","","2024-04-13T15:29:54.719Z"
"政府","government","","2023-12-27T08:43:41.256Z"
"道德","Morality; ethics","","2024-04-06T18:14:17.809Z"
"计划","plan","","2024-04-09T03:41:11.627Z"
"外号","nickname","","2024-07-02T04:15:09.357Z"
"预期","Expectation","","2024-07-01T18:39:21.778Z"
"看着办","do what you want","","2023-12-08T00:50:19.932Z"
"支付","to pay","","2024-07-01T05:20:00.545Z"
"倾向","trend; preference; inclination; bias","","2024-07-01T04:13:26.188Z"
"筋道","tender","","2024-06-30T22:41:39.786Z"
"新陈代谢","Metabolism","","2023-11-30T07:38:03.165Z"
"人物","humans","","2024-04-14T23:01:56.551Z"
"状况","Status; circumstance","","2023-09-05T06:47:54.364Z"
"现金","Cash","","2023-12-29T07:20:41.513Z"
"非常","very much","","2024-04-14T23:01:48.468Z"
"出差","Business trip","","2023-08-08T17:55:43.690Z"
"实力","Strength; capacity","","2024-03-24T21:11:38.980Z"
"好汉","hero; couragous man","","2023-12-25T17:11:33.798Z"
"缺少","to lack","","2023-10-07T03:00:54.887Z"
"企业","enterprise","","2023-11-30T07:39:09.195Z"
"劳动","Labour","","2024-03-15T03:49:29.424Z"
"强调","to emphasize; to stress; emphasis","","2024-04-13T04:40:42.947Z"
"欧洲","Europe","","2024-05-21T03:51:47.045Z"
"强壮","strong","","2024-06-06T01:55:33.439Z"
"未来","The Future","","2023-12-26T17:40:02.501Z"
"生命","Life (concept)","","2024-02-27T06:21:08.357Z"
"偏航","change course; yaw","","2024-02-21T22:17:01.919Z"
"目标","goal","","2024-02-02T05:23:52.662Z"
"英寸","inch","","2024-02-28T05:52:04.294Z"
"简历","Resumé","","2023-11-29T06:41:10.252Z"
"请假","Leave of Absence","","2023-08-02T17:22:03.054Z"
"仿佛","is as if","","2024-01-23T03:16:40.167Z"
"俯仰","pitch (positive angle)","","2024-02-21T22:33:00.635Z"
"凤凰","Phoenix","","2024-02-27T05:57:23.873Z"
"不可救药","incurable; hopeless","","2024-02-27T06:22:57.764Z"
"艺人","artist (all art)","","2024-03-30T23:14:48.825Z"
"显然","Obviously","","2024-02-14T07:25:12.901Z"
"发明","Inventions","","2024-04-05T05:50:46.788Z"
"生活","Life","","2023-12-05T18:02:11.834Z"
"跋涉","to trudge; to trek","","2024-01-29T03:53:58.939Z"
"严格","Strictly","","2024-02-26T23:45:34.780Z"
"天津","Tianjin","","2024-02-26T22:12:38.474Z"
"管用","useful","","2024-04-09T11:44:52.678Z"
"涟漪","ripples","","2023-12-28T19:30:09.400Z"
"借条","IOU","","2024-03-04T07:50:42.733Z"
"画面","scene; image","","2024-03-01T03:13:32.515Z"
"发言人","spokesman for","","2024-04-05T05:55:19.346Z"
"闯入","to break in","","2024-04-14T04:34:12.782Z"
"样式","style/pattern","","2024-02-19T21:05:59.967Z"
"微笑","Smiles","","2024-02-27T06:20:30.981Z"
"搜查","to look up something","","2023-08-24T07:25:20.169Z"
"强度","strength (engineering)","","2024-02-02T19:54:18.548Z"
"胶合板","plywood","","2024-02-28T05:57:59.703Z"
"尺寸","dimensions","","2024-02-02T02:03:26.291Z"
"能够","were able","","2024-02-28T05:27:39.391Z"
"框","frame","","2024-02-28T05:50:40.380Z"
"面试","Interviews","","2023-11-29T06:42:19.423Z"
"模似","emulate; simulate","","2024-05-16T04:03:12.613Z"
"的确","Indeed is; certainly is","","2024-05-16T03:59:35.324Z"
"壁画","mural","","2024-04-09T12:03:22.509Z"
"打交道","make contact with","","2024-03-15T03:49:03.092Z"
"发神经","to go crazy","","2024-02-15T00:52:24.873Z"
"自恋","narcissism","","2023-12-27T08:41:56.211Z"
"波浪","Waves","","2024-01-02T17:52:05.794Z"
"搞砸","screw up; mess up","","2023-10-20T04:27:32.776Z"
"红柿","tomato","","2024-01-22T07:31:46.731Z"
"程度","degree","","2023-11-30T07:39:32.555Z"
"实际上","In fact","","2024-02-02T07:29:42.171Z"
"能力","Capabilities; skills","","2023-12-01T04:12:32.136Z"
"养分","nutrients","","2024-03-30T23:17:14.860Z"
"年龄","age","","2024-02-02T01:32:53.177Z"
"只不过","no more than; only; merely; nothing but","","2023-11-17T06:01:40.917Z"
"持续","to last; to continue","","2023-11-10T19:48:33.309Z"
"导致","to lead to; to cause","","2023-11-10T19:48:51.469Z"
"难怪","no wonder","","2024-05-17T03:25:24.568Z"
"造成","cause; give rise to","","2023-09-16T11:34:51.003Z"
"列表","list","","2024-04-14T02:49:56.734Z"
"致密","dense","","2023-11-16T08:11:25.048Z"
"立马","swiftly","","2024-04-14T04:16:38.886Z"
"创伤","trauma","","2024-03-01T03:11:51.045Z"
"闭目养神","to rest with eyes closed","","2024-01-05T06:13:11.190Z"
"岛","Island","","2024-05-16T04:02:13.631Z"
"推广","popularize","","2023-11-30T07:38:20.945Z"
"毛病","problem; defect","","2024-03-15T03:49:56.337Z"
"生意","Business","","2024-03-08T23:08:37.241Z"
"不胜","cannot bear","","2023-08-28T06:35:05.720Z"
"仙境","paradise","","2024-01-09T06:06:09.637Z"
"实践","to put into practice","","2024-03-19T16:13:17.448Z"
"昆虫","insect","","2024-04-14T04:23:51.698Z"
"藉由","by means of","","2024-02-28T23:16:01.809Z"
"不知不觉","unconsciously","","2024-04-13T04:32:27.136Z"
"素食者","vegan; vegitarian","","2024-04-13T15:28:55.565Z"
"捉","to capture (bugs)","","2024-04-14T04:18:47.918Z"
"赖皮","shameless","","2024-03-12T06:49:59.865Z"
"打赌","a bet","","2024-01-17T04:14:25.831Z"
"礼貌","manners; courtesy","","2024-05-07T04:13:21.414Z"
"交流","Communication","","2023-07-03T22:08:51.227Z"
"适合","to fit; to be suitable","","2023-11-24T06:13:31.065Z"
"要不","either... or...","","2023-12-10T16:10:54.491Z"
"美丽","Beautiful","","2024-02-01T01:57:39.488Z"
"权益","rights and benefits","","2023-11-18T20:12:09.430Z"
"实验","Experiment","","2023-11-10T19:48:14.454Z"
"投篮","to shoot (basketball)","","2024-01-23T03:15:39.489Z"
"不禁","Can't help but","","2024-02-01T01:57:52.869Z"
"福利","Benefits","","2023-11-29T06:42:01.367Z"
"丰富","rich; abundant","","2024-04-24T05:59:13.871Z"
"反感","resentment","","2023-11-18T20:04:59.398Z"
"迷人","charming","","2024-02-27T06:21:59.340Z"
"热情","Enthusiasm","","2023-08-02T17:22:21.804Z"
"特殊","special","","2024-01-17T03:32:14.592Z"
"断断续续","piece by piece","","2023-09-20T05:07:03.828Z"
"越野","cross-country","","2024-04-13T03:56:51.362Z"
"领地","territory; territorial","","2024-04-14T04:25:11.001Z"
"压根","in the first place","","2024-01-27T16:52:19.453Z"
"流畅","smooth and easy","","2024-02-22T02:23:32.399Z"
"链锯","chain saw","","2024-04-13T04:38:51.762Z"
"怀疑","to doubt; to suspect","","2024-04-13T01:46:16.874Z"
"狡辩","to make excuses","","2024-04-13T04:25:22.334Z"
"而是","Rather (transition)","","2024-04-13T04:06:39.632Z"
"言下之意","implication","","2024-04-13T03:35:18.894Z"
"清理","to clean out","","2024-04-13T03:44:32.799Z"
"奋力","Endeavour","","2023-07-25T22:56:32.879Z"
"模仿","Imitation; to imitate","","2023-11-30T07:37:51.836Z"
"竹子","Bamboo","","2024-04-13T03:51:28.271Z"
"鼻孔","nostrils","","2024-03-12T07:39:53.033Z"
"复制","to copy; to duplicate","","2024-06-02T17:08:40.194Z"
"神秘","Mystery; mysterious","","2024-04-21T22:15:53.894Z"
"放晴","clear up (weather)","","2024-04-06T18:08:56.383Z"
"其外","besides that","","2024-04-13T01:58:36.619Z"
"大致","more or less","","2024-04-13T03:48:36.560Z"
"装修","to decorate; to renovate","","2024-04-13T02:33:13.690Z"
"难受","unbearable, uncomfortable","","2023-09-16T11:33:25.158Z"
"数","number; to count; several; frequently","数天以后","2023-11-10T19:48:37.321Z"
"啰嗦","long-winded","","2024-04-13T04:24:24.911Z"
"射箭","archery","","2024-04-13T02:22:06.385Z"
"尤其","particularly","","2023-12-25T02:16:46.151Z"
"居然","unexpectedly","","2024-04-13T01:38:03.124Z"
"怎么回事","what's going on?","","2024-04-19T17:06:41.285Z"
"撅","to protrude; to stick out","","2024-04-08T00:22:10.848Z"
"日常","daily","","2024-04-06T18:01:12.567Z"
"辛苦","exhausting","","2024-04-06T03:57:14.032Z"
"天堂","heaven","","2024-03-30T22:13:55.400Z"
"去世","Pass away","","2023-12-07T23:54:58.470Z"
"交叉口","(road) intersection","","2024-03-01T02:16:25.930Z"
"饭店","restaurant","","2023-07-03T22:28:11.746Z"
"稍微","Slightly","","2024-04-13T03:49:04.984Z"
"箱","chest; case","","2024-04-13T03:50:26.468Z"
"棚子","shack; shed","","2024-04-13T02:26:23.761Z"
"叫做","to be called","","2024-04-13T01:51:38.151Z"
"带劲","energetic; exciting; interesting","","2024-04-13T01:47:43.114Z"
"一件事","one incident","","2024-04-13T03:33:45.527Z"
"林子","forest","","2024-04-13T01:45:47.431Z"
"化学","Chemistry","","2024-04-13T01:52:32.689Z"
"看起来","Looks like","","2024-04-13T03:19:01.418Z"
"严肃","Serious; solemn","","2024-04-21T22:16:19.245Z"
"面前","In front of","","2024-04-13T02:56:41.384Z"
"喜好","Preferred","","2024-01-30T01:05:28.766Z"
"致癌物","carcinogen","","2024-04-13T01:36:01.988Z"
"发电机","generators","","2024-04-13T02:51:15.874Z"
"苦练","train hard","","2024-06-02T17:05:22.493Z"
"节食","go on a diet","","2024-04-06T18:13:27.189Z"
"埋头","to immerse","","2024-06-02T17:05:08.785Z"
"漫不经心","careless","","2024-04-12T01:41:12.469Z"
"不经意","carelessly","","2024-04-12T01:38:40.811Z"
"稳当","reliable; secure","","2024-04-08T00:44:25.502Z"
"接待","Reception","","2024-02-19T21:06:23.845Z"
"随意","voluntary; casually","","2024-04-12T01:40:35.022Z"
"注册","Register","","2023-11-30T07:38:24.342Z"
"一台相机","camera","","2024-01-17T02:49:38.144Z"
"路过","Passing","","2024-02-22T08:00:10.866Z"
"属于","Belongs to; to be a part of","","2024-02-15T07:05:00.644Z"
"玩笑","Jokes","","2024-04-19T07:17:28.871Z"
"递进","one step at a time; step by step","","2024-04-05T06:05:31.622Z"
"者","-er, -ist","","2024-04-13T01:17:21.953Z"
"拳击","boxing","","2024-04-20T01:42:35.274Z"
"巧合","coincidentally","","2023-11-24T06:28:58.306Z"
"要是","if this is the case... then...","","2023-12-08T02:12:01.480Z"
"多亏","Thanks to...; luckily","","2024-01-23T03:16:26.060Z"
"障碍","obstacles; barriers","","2024-04-06T17:50:43.166Z"
"典型","Typical; representative; an example of","","2024-01-01T00:05:05.158Z"
"邀请","invite","","2023-12-08T02:37:15.852Z"
"妙","wonderful; clever","","2024-02-23T01:52:59.329Z"
"经营","to run (a company)","","2023-11-30T07:39:43.405Z"
"反射","reflect","","2024-04-06T18:00:29.135Z"
"税费","taxes","","2024-01-29T23:37:18.990Z"
"公尺","meter","","2024-04-08T00:11:12.932Z"
"残酷","Cruelty","","2024-04-03T03:11:16.616Z"
"减肥","lose weight","","2024-04-19T07:35:30.052Z"
"同事","Colleagues","","2024-04-08T00:01:11.157Z"
"旁人","bystandards; onlookers","","2024-04-08T00:29:49.149Z"
"另外","In addition","","2024-04-19T07:18:11.617Z"
"浓","thick; dense; strong; potent","","2024-03-15T03:49:32.502Z"
"不至于","unlikely to be; not necessary","","2024-04-05T04:54:29.144Z"
"删掉","Delete","","2024-04-19T07:15:45.786Z"
"发言","to make statement; a statement","","2024-04-05T05:55:03.396Z"
"开除","dismissal; expulsion","","2023-11-18T20:22:08.993Z"
"生动","vivid","","2024-02-22T02:17:51.629Z"
"可信","trustworthy","","2024-02-21T22:40:16.839Z"
"惩罚","Punishment; to punish","","2024-01-17T03:59:23.790Z"
"前倾","lean forward","","2024-04-08T00:18:10.042Z"
"嘴唇","lips","","2024-04-08T00:23:34.182Z"
"付出","to pay; to invest","","2024-05-15T03:03:08.395Z"
"基础","Foundation","","2024-02-28T05:50:10.604Z"
"饮食","diet","","2023-09-05T06:55:46.920Z"
"未知","unknown","","2024-04-03T03:13:08.319Z"
"无数","countless","","2024-04-03T03:18:29.945Z"
"为此","For this reason","","2024-05-15T03:09:41.350Z"
"恐惧","to dread","","2024-05-29T23:49:27.710Z"
"踏实","grounded; steadfast; sturdy","","2024-03-30T22:31:37.602Z"
"曾经","previously","","2024-04-05T04:53:17.642Z"
"正经","seriously","","2024-04-19T07:37:50.357Z"
"代价","price; cost","","2024-05-15T03:10:36.928Z"
"登场","appear on the scene","","2024-04-17T03:08:29.355Z"
"面对","to face; to confront (a situation)","","2024-03-30T23:15:24.880Z"
"约会","Date","","2024-02-01T02:12:32.560Z"
"挨打","to take a beating","","2023-12-27T08:41:18.066Z"
"试探","to feel out","","2024-05-29T23:48:00.494Z"
"总结","to sum up; to summarize; to conclude","","2024-03-01T03:16:48.729Z"
"实现","to achieve; to realize","","2024-03-24T21:10:59.759Z"
"花招","tricks","","2024-01-17T02:45:35.033Z"
"紧靠","lean closely against","","2024-02-27T06:15:06.631Z"
"正常","normal","","2024-05-21T04:10:45.387Z"
"不然","Otherwise","","2024-04-19T07:19:37.005Z"
"无语","speechless","","2024-02-23T08:21:53.162Z"
"成型","to take form","","2024-03-04T08:22:08.062Z"
"正宗","traditional; authentic","","2024-03-05T02:30:24.497Z"
"印象","Impression; stereotype","","2023-09-05T06:55:59.957Z"
"也罢","never mind; whatever","","2024-02-21T22:05:50.713Z"
"旅游","tourism","","2023-12-08T00:20:10.100Z"
"地位","Status; position","","2023-11-30T07:39:39.002Z"
"水池","sink","","2024-03-04T08:07:30.708Z"
"递交","transmit; hand over","","2024-04-05T06:04:01.929Z"
"剧透","plot leak; spoiler","","2024-04-17T03:09:00.478Z"
"香肠","sausage","","2024-05-29T23:39:27.162Z"
"做","to become","","2024-05-29T23:44:07.680Z"
"报仇","revenge","","2024-04-18T04:33:54.963Z"
"竞争","Competition","","2023-12-27T08:38:47.044Z"
"改编","rearrange","","2024-03-30T23:20:12.988Z"
"发炎","become inflamed","","2024-04-05T05:55:31.802Z"
"预计","to predict","","2024-03-03T06:17:43.913Z"
"递加","progressively increasing; increment","","2024-04-05T06:05:09.812Z"
"帝国","kingdom","","2024-04-05T05:59:47.702Z"
"凡人","mortals; earthling","","2024-04-05T05:25:07.462Z"
"幸亏","Fortunately","","2024-01-01T00:25:53.693Z"
"珍贵","Precious","","2024-03-30T23:16:41.968Z"
"大方","generous; gracious; open-minded; stylish","","2024-02-22T05:44:37.275Z"
"直接","Direct","","2024-04-03T01:53:37.746Z"
"发起","to initiate","","2024-04-05T05:52:44.433Z"
"街区","block (between streets)","","2023-12-08T01:43:36.086Z"
"主题曲","theme song","","2023-11-24T06:19:03.978Z"
"查出","find out","","2023-10-20T04:37:01.109Z"
"关注","to pay attention to; to be careful of","","2023-11-13T04:28:54.734Z"
"谎言","Lies","","2023-08-24T05:24:09.520Z"
"态度","Attitude; manner; approach; way of thinking","","2024-03-30T23:14:15.557Z"
"显微","microscopic","","2024-04-03T03:31:58.611Z"
"转换","to switch","","2024-04-05T05:10:31.111Z"
"变态","perverted (slang)","","2024-05-29T05:03:23.896Z"
"前途","Prospects; future","","2024-03-04T05:39:15.146Z"
"名堂","accomplishment (sarcastic; trivial)","","2024-03-04T07:23:41.571Z"
"至少","At least","","2023-12-01T05:02:24.052Z"
"刺激","to stimulate; to excite","","2024-05-29T00:02:36.750Z"
"反而","Instead; on the contrary","","2024-05-29T00:13:22.074Z"
"愚蠢","silly; stupid; foolish","","2024-05-28T23:59:41.777Z"
"反驳","to refute; a rebuttle","","2024-05-28T15:43:12.610Z"
"合格","qualified; eligible","","2024-05-28T15:40:39.813Z"
"话语权","influence","","2024-05-28T15:42:39.974Z"
"基因","genes","","2024-05-29T05:02:21.608Z"
"性欲","libido","","2024-05-28T15:40:14.119Z"
"享受","to enjoy","","2023-11-10T19:48:09.722Z"
"随便","casual; carefree","","2024-05-29T05:01:29.762Z"
"令人","to cause someone to","","2024-06-19T23:45:05.977Z"
"之类","and so on","","2024-06-19T06:18:50.674Z"
"微微","humble; faint; slight","","2024-06-18T23:34:54.845Z"
"近期","near future","","2024-06-18T07:12:53.239Z"
"申请","to apply","","2024-06-18T04:33:15.785Z"
"平衡","Balance; equilibrium","","2024-06-18T04:17:58.895Z"
"公寓","Condominium","","2024-06-18T03:48:01.789Z"
"停车场","Parking lot","","2024-06-18T03:47:47.381Z"
"前菜","appetizer","","2024-06-18T03:40:13.671Z"
"不爽","salty","","2024-06-18T03:17:24.010Z"
